tofix,replacewith
Jackson St. Tigers,Jackson St.
Jacksonville Dolphins,Jacksonville
Jacksonville St. Gamecocks,Jacksonville St.
James Madison Dukes,James Madison
Kansas Jayhawks,Kansas
Kansas St. Wildcats,Kansas St.
Kennesaw St. Owls,Kennesaw St.
Kent St. Golden Flashes,Kent St.
Kentucky Wildcats,Kentucky
La Salle Explorers,La Salle
Lafayette Leopards,Lafayette
Lamar Cardinals,Lamar
Le Moyne Dolphins,Le Moyne
Lehigh Mountain Hawks,Lehigh
Liberty Flames,Liberty
Lindenwood Lions,Lindenwood
Lipscomb Bisons,Lipscomb
Arkansas Little Rock,Little Rock
Little Rock Trojans,Little Rock
LIU Brooklyn,LIU
Long Island University,LIU
Long Island University Sharks,LIU
Cal St. Long Beach,Long Beach St.
Long Beach St. Beach,Long Beach St.
Longwood Lancers,Longwood
Louisiana Lafayette,Louisiana
Louisiana Ragin' Cajuns,Louisiana
Louisiana-Monroe,Louisiana Monroe
UL Monroe,Louisiana Monroe
UL Monroe Warhawks,Louisiana Monroe
Louisiana Tech Bulldogs,Louisiana Tech
Louisville Cardinals,Louisville
Loyola (IL),Loyola Chicago
Loyola Chicago Ramblers,Loyola Chicago
Loyola Marymount Lions,Loyola Marymount
Loyola (MD),Loyola MD
Loyola Maryland,Loyola MD
Loyola Maryland Greyhounds,Loyola MD
Louisiana St.,LSU
LSU Tigers,LSU
Maine Black Bears,Maine
Manhattan Jaspers,Manhattan
Marist Red Foxes,Marist
Marquette Golden Eagles,Marquette
Marshall Thundering Herd,Marshall
Maryland Terrapins,Maryland
Maryland Eastern Shore Hawks,Maryland Eastern Shore
Maryland-Eastern Shore,Maryland Eastern Shore
Maryland-Eastern Shore Hawks,Maryland Eastern Shore
Massachusetts Minutemen,Massachusetts
UMass,Massachusetts
UMass Minutemen,Massachusetts
McNeese,McNeese St.
McNeese Cowboys,McNeese St.
Memphis Tigers,Memphis
Mercer Bears,Mercer
Mercyhurst Lakers,Mercyhurst
Merrimack Warriors,Merrimack
Miami,Miami FL
Miami (FL),Miami FL
Miami Hurricanes,Miami FL
Miami (OH),Miami OH
Miami (OH) Redhawks,Miami OH
Miami (OH) RedHawks,Miami OH
Michigan Wolverines,Michigan
Michigan St. Spartans,Michigan St.
Middle Tennessee Blue Raiders,Middle Tennessee
Milwaukee Panthers,Milwaukee
Minnesota Golden Gophers,Minnesota
Ole Miss,Mississippi
Ole Miss Rebels,Mississippi
Mississippi St. Bulldogs,Mississippi St.
Mississippi Valley St. Delta Devils,Mississippi Valley St.
Missouri Tigers,Missouri
Missouri St. Bears,Missouri St.
Monmouth Hawks,Monmouth
Montana Grizzlies,Montana
Montana St. Bobcats,Montana St.
Morehead St. Eagles,Morehead St.
Morgan St. Bears,Morgan St.
Mount St. Mary's Mountaineers,Mount St. Mary's
Murray St. Racers,Murray St.
Navy Midshipmen,Navy
Nebraska Cornhuskers,Nebraska
Omaha,Nebraska Omaha
Omaha Mavericks,Nebraska Omaha
Nevada Wolf Pack,Nevada
New Hampshire Wildcats,New Hampshire
New Mexico Lobos,New Mexico
New Mexico St. Aggies,New Mexico St.
New Orleans Privateers,New Orleans
Niagara Purple Eagles,Niagara
Nicholls,Nicholls St.
Nicholls Colonels,Nicholls St.
NJIT Highlanders,NJIT
Norfolk St. Spartans,Norfolk St.
North Alabama Lions,North Alabama
North Carolina Tar Heels,North Carolina
North Carolina A&T Aggies,North Carolina A&T
North Carolina Central Eagles,North Carolina Central
N.C. St.,North Carolina St.
N.C. State,North Carolina St.
NC St.,North Carolina St.
NC St. Wolfpack,North Carolina St.
North Carolina St.,North Carolina St.
North Dakota Fighting Hawks,North Dakota
North Dakota St. Bison,North Dakota St.
North Florida Ospreys,North Florida
North Texas Mean Green,North Texas
Northeastern Huskies,Northeastern
Northern Arizona Lumberjacks,Northern Arizona
Northern Colorado Bears,Northern Colorado
Northern Illinois Huskies,Northern Illinois
Northern Iowa Panthers,Northern Iowa
Northern Kentucky Norse,Northern Kentucky
Northwestern Wildcats,Northwestern
Northwestern St. Demons,Northwestern St.
Notre Dame Fighting Irish,Notre Dame
Oakland Golden Grizzlies,Oakland
Ohio Bobcats,Ohio
Ohio St. Buckeyes,Ohio St.
Oklahoma Sooners,Oklahoma
Oklahoma St. Cowboys,Oklahoma St.
Old Dominion Monarchs,Old Dominion
Oral Roberts Golden Eagles,Oral Roberts
Oregon Ducks,Oregon
Oregon St. Beavers,Oregon St.
Centenary,out
Centenary (LA),out
Centenary (LA) Gentlemen,out
Centenary Louisiana,out
Centenary Louisiana Gentlemen,out
Dixie St.,out
Hartford Hawks,out
Hartford,out
Harvard Crimson,out
Houston Baptist,out
New Haven Chargers,out
Savannah St.,out
Savannah St.,out
Savannah St. Tigers,out
South Carolina UpSt.,out
South Carolina UpSt. Spartans,out
South Carolina Upstate,out
South Carolina Upstate Spartans,out
St. Francis (BKN),out
St. Francis (NY),out
St. Francis Brooklyn,out
St. Francis Brooklyn Terriers,out
St. Francis NY,out
Texas Pan American,out
Winston Salem,out
Winston Salem Rams,out
Winston Salem St.,out
Winston-Salem Rams,out
Pacific Tigers,Pacific
Pennsylvania,Penn
Pennsylvania Quakers,Penn
Penn St. Nittany Lions,Penn St.
Pepperdine Waves,Pepperdine
Pittsburgh Panthers,Pittsburgh
Portland Pilots,Portland
Portland St. Vikings,Portland St.
Prairie View,Prairie View A&M
Prairie View A&M Panthers,Prairie View A&M
Presbyterian Blue Hose,Presbyterian
Princeton Tigers,Princeton
Providence Friars,Providence
Purdue Boilermakers,Purdue
Fort Wayne,Purdue Fort Wayne
IPFW,Purdue Fort Wayne
Purdue Fort Wayne Mastodons,Purdue Fort Wayne
Purdue-Fort Wayne,Purdue Fort Wayne
Queens (NC),Queens
Queens University,Queens
Queens University Royals,Queens
Quinnipiac Bobcats,Quinnipiac
Radford Highlanders,Radford
Rhode Island Rams,Rhode Island
Rice Owls,Rice
Richmond Spiders,Richmond
Rider Broncs,Rider
Robert Morris Colonials,Robert Morris
Rutgers Scarlet Knights,Rutgers
Sacramento St. Hornets,Sacramento St.
Sacred Heart Pioneers,Sacred Heart
Saint Francis (PA),Saint Francis
St. Francis (PA),Saint Francis
St. Francis (PA) Red Flash,Saint Francis
St. Francis PA,Saint Francis
Saint Francis Red Flash,Saint Francis
Saint Joseph's Hawks,Saint Joseph's
Saint Louis Billikens,Saint Louis
Saint Mary's (CA),Saint Mary's
Saint Mary's Gaels,Saint Mary's
Saint Peter's Peacocks,Saint Peter's
Sam Houston,Sam Houston St.
Sam Houston Bearkats,Sam Houston St.
Samford Bulldogs,Samford
San Diego Toreros,San Diego
San Diego St. Aztecs,San Diego St.
San Francisco Dons,San Francisco
San José St.,San Jose St.
San José St. Spartans,San Jose St.
San Jos� St. Spartans,San Jose St.
San Jos� St. Spartans,San Jose St.
San José St. Spartans,San Jose St.
Santa Clara Broncos,Santa Clara
Seattle U,Seattle
Seattle U Redhawks,Seattle
Seton Hall Pirates,Seton Hall
Siena Saints,Siena
SIU Edwardsville Cougars,SIUE
SIU Edwardsville,SIUE
SMU Mustangs,SMU
Southern Methodist,SMU
South Alabama Jaguars,South Alabama
South Carolina Gamecocks,South Carolina
South Carolina St. Bulldogs,South Carolina St.
South Dakota Coyotes,South Dakota
South Dakota St. Jackrabbits,South Dakota St.
South Florida Bulls,South Florida
Southeast Missouri St. Redhawks,Southeast Missouri
Southeast Missouri St.,Southeast Missouri
SE Missouri St.,Southeast Missouri
SE Louisiana,Southeastern Louisiana
SE Louisiana Lions,Southeastern Louisiana
Southern Jaguars,Southern
Southern Illinois Salukis,Southern Illinois
Southern Indiana Screaming Eagles,Southern Indiana
Southern Miss Golden Eagles,Southern Miss
Southern Mississippi,Southern Miss
Southern Utah Thunderbirds,Southern Utah
St. Bonaventure Bonnies,St. Bonaventure
St. John's (NY),St. John's
St. John's Red Storm,St. John's
St. Johns,St. John's
St. Thomas - Minnesota,St. Thomas
St. Thomas - Minnesota Tommies,St. Thomas
St. Thomas (MN),St. Thomas
St. Thomas-Minnesota Tommies,St. Thomas
Stanford Cardinal,Stanford
Stephen F. Austin Lumberjacks,Stephen F. Austin
Stetson Hatters,Stetson
Stonehill Skyhawks,Stonehill
Stony Brook Seawolves,Stony Brook
Syracuse Orange,Syracuse
Tarleton,Tarleton St.
Tarleton St. Texans,Tarleton St.
Tarleton Texans,Tarleton St.
TCU Horned Frogs,TCU
Texas Christian,TCU
Temple Owls,Temple
Tennessee Volunteers,Tennessee
Tennessee-Martin,Tennessee Martin
UT Martin,Tennessee Martin
UT Martin Skyhawks,Tennessee Martin
Tennessee St. Tigers,Tennessee St.
Tennessee Tech Golden Eagles,Tennessee Tech
Texas Longhorns,Texas
Texas A&M Aggies,Texas A&M
Texas A&M-CC,Texas A&M Corpus Chris
Texas A&M-Corpus Christi,Texas A&M Corpus Chris
Texas A&M-Corpus Christi Islanders,Texas A&M Corpus Chris
Texas Southern Tigers,Texas Southern
Texas St. Bobcats,Texas St.
Texas Tech Red Raiders,Texas Tech
The Citadel Bulldogs,The Citadel
Toledo Rockets,Toledo
Towson Tigers,Towson
Troy Trojans,Troy
Tulane Green Wave,Tulane
Tulsa Golden Hurricane,Tulsa
Alabama-Birmingham,UAB
UAB Blazers,UAB
UC Davis Aggies,UC Davis
UC-Davis,UC Davis
UC Irvine Anteaters,UC Irvine
UC-Irvine,UC Irvine
UC Riverside Highlanders,UC Riverside
UC-Riverside,UC Riverside
UC San Diego Tritons,UC San Diego
UC-San Diego,UC San Diego
UC Santa Barbara Gauchos,UC Santa Barbara
UC-Santa Barbara,UC Santa Barbara
Central Florida,UCF
UCF Knights,UCF
UCLA Bruins,UCLA
Massachusetts-Lowell,UMass Lowell
UMass Lowell River Hawks,UMass Lowell
Maryland-Baltimore County,UMBC
UMBC Retrievers,UMBC
Kansas City,UMKC
Kansas City Roos,UMKC
North Carolina-Asheville,UNC Asheville
UNC Asheville Bulldogs,UNC Asheville
North Carolina-Greensboro,UNC Greensboro
UNC Greensboro Spartans,UNC Greensboro
North Carolina-Wilmington,UNC Wilmington
UNC Wilmington Seahawks,UNC Wilmington
Nevada-Las Vegas,UNLV
UNLV Rebels,UNLV
Southern California,USC
USC Trojans,USC
USC UpSt.,USC Upstate
Texas-Arlington,UT Arlington
UT Arlington Mavericks,UT Arlington
Texas-Rio Grande Valley,UT Rio Grande Valley
UT Rio Grande Valley Vaqueros,UT Rio Grande Valley
Utah Utes,Utah
Utah St. Aggies,Utah St.
Utah Tech Trailblazers,Utah Tech
Utah Valley St.,Utah Valley
Utah Valley Wolverines,Utah Valley
Texas-El Paso,UTEP
UTEP Miners,UTEP
Texas-San Antonio,UTSA
UTSA Roadrunners,UTSA
Valparaiso Beacons,Valparaiso
Vanderbilt Commodores,Vanderbilt
VCU Rams,VCU
Virginia Commonwealth,VCU
Vermont Catamounts,Vermont
Villanova Wildcats,Villanova
Virginia Cavaliers,Virginia
Virginia Tech Hokies,Virginia Tech
VMI Keydets,VMI
Wagner Seahawks,Wagner
Wake Forest Demon Deacons,Wake Forest
Washington Huskies,Washington
Washington St. Cougars,Washington St.
Weber St. Wildcats,Weber St.
West Georgia Wolves,West Georgia
West Virginia Mountaineers,West Virginia
Western Carolina Catamounts,Western Carolina
Western Illinois Leathernecks,Western Illinois
Western Kentucky Hilltoppers,Western Kentucky
Western Michigan Broncos,Western Michigan
Wichita St. Shockers,Wichita St.
William & Mary Tribe,William & Mary
Winthrop Eagles,Winthrop
Wisconsin Badgers,Wisconsin
Wofford Terriers,Wofford
Wright St. Raiders,Wright St.
Wyoming Cowboys,Wyoming
Xavier Musketeers,Xavier
Yale Bulldogs,Yale
Youngstown St. Penguins,Youngstown St.
