<<<<<<< HEAD
Year,Team,Conf,NetRtg,ORtg,DRtg,AdjT
2008,Tulsa,CUSA,9.63,106.2,96.6,64.6
2008,Texas Tech,B12,9.6,107.7,98.1,67.6
2008,Charlotte,A10,9.53,104.6,95.1,66.8
2008,Providence,BE,9.4,110.1,100.8,66.3
2008,Alabama,SEC,9.2,110.9,101.7,66.7
2008,Bradley,MVC,9.05,111.8,102.7,68.5
2008,Cal St. Fullerton,BW,8.47,112.3,103.9,71.6
2008,Missouri St.,MVC,8.39,108.2,99.8,65.1
2008,Virginia,ACC,8.11,110.5,102.4,68.4
2008,Georgia,SEC,8.08,104.3,96.2,64.7
2008,San Diego St.,MWC,7.99,104.9,96.9,64.1
2008,Siena,MAAC,7.99,108.6,100.7,67.6
2008,Western Michigan,MAC,7.92,108.1,100.2,63.8
2008,Ohio,MAC,7.55,109.7,102.1,63.2
2008,Stephen F. Austin,Slnd,7.53,107.6,100.1,57.6
2008,UCF,CUSA,7.11,109.1,102.0,64.1
2008,Southern Miss,CUSA,6.98,108.3,101.3,63.3
2008,UNC Greensboro,SC,6.96,108.1,101.2,64.6
2008,New Mexico St.,WAC,6.85,108.1,101.3,69.7
2008,Nevada,WAC,6.59,108.5,101.9,67.2
2008,Cincinnati,BE,6.58,104.8,98.2,63.5
2008,Cleveland St.,Horz,6.58,103.3,96.7,64.7
2008,Winthrop,BSth,6.38,99.5,93.1,61.6
2008,Boston College,ACC,6.37,108.9,102.6,64.2
2008,South Carolina,SEC,6.1,109.1,103.0,64.7
2008,Seton Hall,BE,6.0,110.5,104.5,69.2
2008,UTEP,CUSA,5.74,106.7,100.9,70.9
2008,Utah St.,WAC,5.7,114.6,108.9,62.9
2008,North Carolina St.,ACC,5.65,107.6,101.9,62.7
2008,South Florida,BE,5.41,107.4,102.0,63.4
2008,Portland St.,BSky,5.4,108.6,103.2,66.3
2008,Illinois Chicago,Horz,5.34,104.8,99.5,65.7
2008,DePaul,BE,5.28,111.8,106.6,65.7
2008,LSU,SEC,5.2,104.9,99.7,65.6
2008,Wright St.,Horz,5.04,104.0,98.9,59.7
2008,UC Santa Barbara,BW,4.93,102.3,97.3,65.2
2008,Old Dominion,CAA,4.9,106.5,101.6,63.0
2008,Valparaiso,Horz,4.7,107.9,103.2,65.7
2008,San Diego,WCC,4.64,101.6,97.0,63.0
2008,Northern Iowa,MVC,4.62,105.9,101.3,59.2
2008,Rider,MAAC,4.62,108.2,103.6,68.7
2008,Cornell,Ivy,4.41,110.1,105.7,67.9
2008,Iowa St.,B12,4.38,101.7,97.4,64.1
2008,Colorado,B12,4.29,104.7,100.4,60.9
2008,Boise St.,WAC,3.89,108.7,104.8,70.7
2008,UMBC,AE,3.86,113.2,109.3,63.7
2008,Georgia Southern,SC,3.82,106.0,102.2,69.0
2008,Belmont,ASun,3.53,109.7,106.2,68.6
2008,Penn St.,B10,3.48,107.7,104.2,63.5
2008,CSUN,BW,3.43,102.2,98.7,72.2
2008,Indiana St.,MVC,3.2,105.9,102.7,64.3
2008,North Texas,SB,3.11,105.9,102.8,68.0
2008,Brown,Ivy,3.07,108.9,105.8,61.1
2008,Niagara,MAAC,2.92,106.7,103.7,69.9
2008,North Dakota St.,Sum,2.88,107.0,104.1,67.0
2008,Michigan,B10,2.7,104.4,101.7,64.1
2008,Sam Houston St.,Slnd,2.7,96.5,93.8,67.6
2008,Marshall,CUSA,2.56,106.2,103.6,62.9
2008,St. John's,BE,2.44,98.6,96.2,63.9
2008,Appalachian St.,SC,2.41,105.8,103.4,65.3
2008,Oakland,Sum,2.39,111.7,109.3,67.1
2008,Pacific,BW,2.36,107.1,104.7,63.7
2008,Robert Morris,NEC,2.27,103.3,101.1,69.0
2008,Green Bay,Horz,2.02,107.1,105.1,65.4
2008,Iowa,B10,2.01,98.8,96.8,58.8
2008,La Salle,A10,1.93,107.4,105.5,68.9
2008,Marist,MAAC,1.92,106.3,104.4,63.3
2008,Auburn,SEC,1.92,109.8,107.8,65.1
2008,American,Pat,1.67,107.9,106.3,60.4
2008,Richmond,A10,1.48,101.4,99.9,61.5
2008,Northern Arizona,BSky,1.43,105.6,104.2,66.2
2008,Northeastern,CAA,1.42,103.2,101.7,61.4
2008,Wichita St.,MVC,1.41,104.3,102.8,60.5
2008,Santa Clara,WCC,1.34,100.9,99.6,59.7
2008,Air Force,MWC,1.18,100.9,99.7,56.3
2008,Saint Louis,A10,0.95,100.9,100.0,58.4
2008,Chattanooga,SC,0.89,102.4,101.5,72.0
2008,Fordham,A10,0.69,103.2,102.5,61.8
2008,Lamar,Slnd,0.56,108.1,107.6,69.9
2008,UC Irvine,BW,0.48,104.2,103.8,62.8
2008,UNC Wilmington,CAA,0.35,108.2,107.9,66.5
2008,Loyola MD,MAAC,0.08,108.1,108.0,64.7
2008,Tulane,CUSA,-0.13,102.1,102.2,63.5
2008,Middle Tennessee,SB,-0.16,104.9,105.1,62.1
2008,Charleston,SC,-0.21,106.7,106.9,65.8
2008,Milwaukee,Horz,-0.26,100.7,100.9,67.0
2008,Austin Peay,OVC,-0.3,104.6,104.9,65.5
2008,Morgan St.,MEAC,-1.01,100.0,101.0,64.7
2008,Holy Cross,Pat,-1.03,101.3,102.3,59.6
2008,George Washington,A10,-1.1,100.9,102.0,63.4
2008,UNC Asheville,BSth,-1.21,107.2,108.4,64.4
2008,Mount St. Mary's,NEC,-1.32,99.3,100.6,66.1
2008,East Tennessee St.,ASun,-1.38,103.9,105.3,71.3
2008,Vermont,AE,-1.73,101.0,102.7,68.8
2008,Albany,AE,-1.82,103.1,104.9,63.4
2008,TCU,MWC,-1.87,100.7,102.5,66.7
2008,Central Michigan,MAC,-2.06,103.1,105.2,67.9
2008,New Orleans,SB,-2.07,104.7,106.7,68.2
2008,UT Arlington,Slnd,-2.31,101.3,103.6,68.6
2008,Buffalo,MAC,-2.46,100.6,103.1,71.2
2008,Eastern Michigan,MAC,-2.48,104.7,107.2,62.4
2008,Rutgers,BE,-2.52,96.2,98.8,64.6
2008,Elon,SC,-2.63,98.0,100.6,61.8
2008,Lafayette,Pat,-2.64,106.5,109.2,68.6
2008,Weber St.,BSky,-2.72,99.6,102.4,63.9
2008,High Point,BSth,-2.76,103.3,106.0,61.9
2008,Gardner Webb,ASun,-2.97,103.6,106.6,70.1
2008,William & Mary,CAA,-2.99,100.3,103.3,61.4
2008,Fresno St.,WAC,-3.02,98.8,101.8,66.6
2008,Northwestern,B10,-3.2,105.3,108.5,61.0
2008,Colgate,Pat,-3.2,98.1,101.3,63.9
2008,Little Rock,SB,-3.28,95.0,98.3,64.7
2008,Wyoming,MWC,-3.32,100.8,104.1,68.6
2008,Louisiana,SB,-3.42,97.6,101.0,63.5
2008,Montana,BSky,-3.52,106.9,110.4,62.2
2008,Lipscomb,ASun,-3.59,101.3,104.9,66.2
2008,Purdue Fort Wayne,Sum,-3.85,100.5,104.4,65.6
2008,Loyola Chicago,Horz,-3.88,100.1,104.0,60.3
2008,Navy,Pat,-3.92,101.5,105.4,73.3
2008,Central Connecticut,NEC,-3.96,104.3,108.3,62.5
2008,Murray St.,OVC,-3.97,104.3,108.3,63.8
2008,Wofford,SC,-4.05,106.7,110.8,61.2
2008,Bowling Green,MAC,-4.3,100.5,104.8,63.7
2008,Liberty,BSth,-4.55,103.6,108.2,62.3
2008,Alabama St.,SWAC,-4.55,102.0,106.5,64.3
2008,Delaware,CAA,-4.57,97.7,102.3,64.9
2008,Southeastern Louisiana,Slnd,-4.59,95.9,100.5,64.1
2008,Sacred Heart,NEC,-4.74,101.7,106.4,67.9
2008,Fairfield,MAAC,-4.97,105.2,110.1,60.5
2008,Jacksonville,ASun,-5.02,102.1,107.1,66.1
2008,Hampton,MEAC,-5.15,94.4,99.6,66.5
2008,LIU,NEC,-5.17,100.6,105.8,69.4
2008,Hofstra,CAA,-5.17,97.9,103.0,67.2
2008,Utah Valley,ind,-5.22,105.0,110.2,60.6
2008,James Madison,CAA,-5.33,103.9,109.3,68.6
2008,Evansville,MVC,-5.47,98.8,104.3,62.8
2008,St. Bonaventure,A10,-5.58,104.7,110.2,64.8
2008,Iona,MAAC,-5.7,95.2,100.9,66.3
2008,Southern Utah,Sum,-5.82,102.2,108.0,64.7
2008,Toledo,MAC,-5.85,94.1,99.9,64.3
2008,Youngstown St.,Horz,-5.88,97.9,103.8,67.2
2008,Florida Atlantic,SB,-5.88,102.7,108.6,68.6
2008,Binghamton,AE,-5.89,100.0,105.9,62.3
2008,East Carolina,CUSA,-6.08,103.8,109.9,65.2
2008,Boston University,AE,-6.08,97.2,103.3,63.1
2008,Pepperdine,WCC,-6.39,99.9,106.3,72.7
2008,Wagner,NEC,-6.44,97.1,103.6,67.4
2008,Tennessee St.,OVC,-6.76,104.1,110.8,68.6
2008,Montana St.,BSky,-6.95,104.8,111.8,66.4
2008,Hawaii,WAC,-7.02,102.2,109.2,66.8
2008,Yale,Ivy,-7.15,99.9,107.1,65.4
2008,Denver,SB,-7.16,98.4,105.5,55.2
2008,Ball St.,MAC,-7.21,95.7,102.9,61.1
2008,Northern Colorado,BSky,-7.22,100.0,107.3,67.7
2008,McNeese St.,Slnd,-7.26,96.6,103.8,65.2
2008,Quinnipiac,NEC,-7.37,104.8,112.2,66.6
2008,Manhattan,MAAC,-7.41,101.8,109.3,66.0
2008,Troy,SB,-7.42,104.5,111.9,70.2
2008,Towson,CAA,-7.45,99.2,106.7,65.5
2008,Bucknell,Pat,-7.46,95.8,103.3,62.2
2008,Nicholls St.,Slnd,-7.52,94.9,102.4,64.8
2008,Western Carolina,SC,-7.58,98.6,106.1,63.3
2008,Oregon St.,P10,-7.91,95.3,103.3,65.1
2008,Tennessee Martin,OVC,-8.1,106.1,114.2,68.1
2008,Eastern Washington,BSky,-8.11,96.3,104.4,64.0
2008,Tennessee Tech,OVC,-8.17,99.9,108.1,69.9
2008,Lehigh,Pat,-8.26,96.6,104.8,64.2
2008,Detroit Mercy,Horz,-8.32,100.7,109.0,60.3
2008,Georgia St.,CAA,-8.47,98.3,106.8,62.2
2008,Northwestern St.,Slnd,-8.6,98.5,107.1,72.6
2008,San Francisco,WCC,-8.63,99.1,107.7,65.9
2008,VMI,BSth,-8.65,105.4,114.1,77.7
2008,Western Illinois,Sum,-8.66,98.4,107.1,66.1
2008,Drexel,CAA,-8.68,90.8,99.4,64.4
2008,UMKC,Sum,-8.72,100.0,108.7,65.9
2008,San Jose St.,WAC,-8.83,97.9,106.7,66.7
2008,FIU,SB,-8.94,93.0,102.0,66.3
2008,Texas St.,Slnd,-9.08,100.9,110.0,78.0
2008,Columbia,Ivy,-9.2,97.3,106.5,61.9
2008,Chicago St.,ind,-9.36,102.3,111.6,70.9
2008,Army,Pat,-9.47,89.3,98.8,62.9
2008,Colorado St.,MWC,-9.76,101.8,111.6,63.6
2008,Northern Illinois,MAC,-9.81,96.9,106.7,69.4
2008,Cal Poly,BW,-9.83,95.1,105.0,65.2
2008,Portland,WCC,-9.88,98.9,108.8,62.6
2008,Louisiana Monroe,SB,-10.02,102.1,112.1,65.1
2008,Arkansas St.,SB,-10.29,104.9,115.2,64.1
2008,Stetson,ASun,-10.29,93.7,104.0,64.5
2008,Texas A&M Corpus Chris,Slnd,-10.42,96.7,107.1,63.6
2008,South Dakota St.,Sum,-10.66,99.0,109.6,64.5
2008,Delaware St.,MEAC,-11.16,101.3,112.5,55.5
2008,New Hampshire,AE,-11.35,97.2,108.5,65.1
2008,Saint Peter's,MAAC,-11.42,94.8,106.2,67.1
2008,Eastern Kentucky,OVC,-11.48,97.6,109.1,60.0
2008,Central Arkansas,Slnd,-11.66,94.2,105.8,65.1
2008,Harvard,Ivy,-11.73,99.7,111.5,67.0
2008,Mercer,ASun,-11.85,97.6,109.5,70.9
2008,UTSA,Slnd,-11.88,94.6,106.5,63.4
2008,SMU,CUSA,-12.04,95.0,107.0,64.5
2008,USC Upstate,ASun,-12.15,93.7,105.8,63.4
2008,Coastal Carolina,BSth,-12.35,99.1,111.5,63.7
2008,Morehead St.,OVC,-12.64,95.3,107.9,62.6
2008,Campbell,ASun,-12.69,96.1,108.8,68.5
2008,Penn,Ivy,-12.72,96.1,108.8,68.4
2008,Norfolk St.,MEAC,-13.04,97.0,110.0,68.7
2008,Furman,SC,-13.31,95.3,108.6,64.0
2008,Idaho,WAC,-13.4,96.3,109.7,64.2
2008,Presbyterian,ind,-13.62,97.6,111.2,58.5
2008,UC Riverside,BW,-13.65,93.7,107.3,61.8
2008,Idaho St.,BSky,-14.07,95.8,109.9,60.0
2008,Radford,BSth,-14.36,95.9,110.2,68.2
2008,Coppin St.,MEAC,-14.41,92.4,106.8,62.9
2008,Samford,OVC,-14.41,96.9,111.4,54.6
2008,Stony Brook,AE,-14.6,92.5,107.1,62.4
2008,Florida A&M,MEAC,-14.71,94.3,109.0,65.6
2008,Rice,CUSA,-14.74,86.7,101.5,65.2
2008,Fairleigh Dickinson,NEC,-14.81,99.9,114.7,67.6
2008,Long Beach St.,BW,-14.88,96.3,111.2,62.9
2008,Canisius,MAAC,-15.08,95.0,110.1,64.0
2008,Mississippi Valley St.,SWAC,-15.21,91.9,107.1,63.0
2008,Florida Gulf Coast,ASun,-15.29,94.5,109.8,67.5
2008,North Carolina A&T,MEAC,-15.38,96.1,111.5,67.3
2008,Monmouth,NEC,-15.45,93.0,108.5,60.3
2008,Southeast Missouri,OVC,-15.56,96.1,111.7,74.4
2008,Kennesaw St.,ASun,-15.6,94.4,110.0,68.2
2008,Princeton,Ivy,-15.68,93.2,108.9,58.8
2008,Dartmouth,Ivy,-15.91,92.4,108.3,64.6
2008,Southern,SWAC,-16.09,90.0,106.1,63.3
2008,Jackson St.,SWAC,-16.17,93.0,109.2,70.0
2008,Charleston Southern,BSth,-16.55,99.1,115.6,68.3
2008,South Carolina St.,MEAC,-16.61,95.5,112.1,70.3
2008,Alabama A&M,SWAC,-16.72,89.4,106.2,68.2
2008,Saint Francis,NEC,-17.22,97.1,114.3,60.9
2008,Cal St. Bakersfield,ind,-17.31,96.7,114.0,65.2
2008,UC Davis,BW,-17.65,97.9,115.6,62.9
2008,Maine,AE,-17.82,92.6,110.4,66.3
2008,Bethune Cookman,MEAC,-18.4,92.1,110.5,57.8
2008,Eastern Illinois,OVC,-18.41,95.7,114.1,61.6
2008,Jacksonville St.,OVC,-18.47,97.4,115.8,67.3
2008,Longwood,ind,-18.61,97.9,116.5,66.5
2008,Louisiana Tech,WAC,-19.1,93.3,112.4,63.2
2008,Arkansas Pine Bluff,SWAC,-19.61,87.7,107.3,62.7
2008,The Citadel,SC,-20.95,94.9,115.9,62.1
2008,Prairie View A&M,SWAC,-21.82,89.8,111.6,69.4
2008,Loyola Marymount,WCC,-22.33,91.2,113.6,68.2
2008,Sacramento St.,BSky,-22.44,90.0,112.4,68.7
2008,North Carolina Central,ind,-23.17,85.3,108.5,68.3
2008,Texas Southern,SWAC,-23.21,88.3,111.5,67.4
2008,Howard,MEAC,-23.29,85.9,109.2,62.6
2008,North Florida,ASun,-23.54,86.3,109.9,64.4
2008,Grambling St.,SWAC,-24.32,90.9,115.2,68.4
2008,Alcorn St.,SWAC,-24.83,93.5,118.3,67.8
2008,Maryland Eastern Shore,MEAC,-28.29,86.1,114.4,67.1
2008,NJIT,ind,-32.79,77.2,110.0,69.7
2009,North Carolina,ACC,31.14,123.2,92.1,72.9
2009,Connecticut,BE,29.25,116.0,86.8,67.1
2009,Pittsburgh,BE,28.96,121.2,92.3,65.2
2009,Memphis,CUSA,28.67,112.8,84.2,65.9
2009,Louisville,BE,26.06,111.2,85.2,66.9
2009,Missouri,B12,24.81,116.6,91.8,70.9
2009,Oklahoma,B12,24.59,118.3,93.7,66.6
2009,Gonzaga,WCC,24.51,117.5,93.0,67.1
2009,Michigan St.,B10,24.37,114.3,89.9,66.5
2009,Duke,ACC,24.31,117.5,93.2,66.3
2009,West Virginia,BE,24.21,115.1,90.9,63.7
2009,UCLA,P10,23.93,119.5,95.6,65.3
2009,Villanova,BE,23.89,114.4,90.5,68.3
2009,Kansas,B12,23.83,114.5,90.7,67.2
2009,Arizona St.,P10,23.03,118.2,95.2,59.1
2009,Syracuse,BE,22.21,117.0,94.8,69.7
2009,Washington,P10,22.09,113.1,91.0,72.2
2009,Purdue,B10,21.84,110.5,88.7,65.9
2009,Marquette,BE,21.02,117.1,96.1,67.5
2009,Xavier,A10,20.24,111.0,90.8,65.8
2009,BYU,MWC,20.1,114.0,93.9,69.0
2009,Texas,B12,19.65,112.2,92.5,65.4
2009,Clemson,ACC,19.62,116.4,96.7,67.9
2009,Wake Forest,ACC,18.88,111.6,92.7,72.8
2009,Illinois,B10,18.72,106.8,88.1,62.8
2009,Oklahoma St.,B12,18.33,116.4,98.1,69.3
2009,USC,P10,18.26,110.0,91.8,63.7
2009,Utah,MWC,17.8,110.8,92.9,65.0
2009,Wisconsin,B10,17.62,113.3,95.7,59.1
2009,California,P10,17.37,116.8,99.4,66.0
2009,Georgetown,BE,16.96,111.1,94.2,62.7
2009,Tennessee,SEC,16.48,115.1,98.7,67.7
2009,Baylor,B12,16.38,116.5,100.1,65.8
2009,Ohio St.,B10,16.34,113.3,96.9,62.5
2009,Florida,SEC,16.16,115.1,98.9,65.8
2009,San Diego St.,MWC,16.05,109.4,93.3,61.8
2009,Arizona,P10,15.96,117.7,101.8,64.9
2009,Butler,Horz,15.78,110.3,94.5,62.8
2009,Florida St.,ACC,15.76,105.9,90.1,65.9
2009,Minnesota,B10,15.43,108.1,92.6,64.5
2009,Notre Dame,BE,15.38,115.0,99.6,67.2
2009,Miami FL,ACC,15.3,111.2,95.9,64.3
2009,New Mexico,MWC,15.29,112.2,96.9,64.8
2009,Utah St.,WAC,15.12,116.7,101.6,60.0
2009,Texas A&M,B12,15.01,113.1,98.1,63.9
2009,LSU,SEC,14.86,111.5,96.6,66.1
2009,Michigan,B10,14.75,112.2,97.5,62.5
2009,Kentucky,SEC,14.62,107.8,93.2,66.6
2009,Washington St.,P10,14.58,105.0,90.4,57.6
2009,Temple,A10,14.38,109.9,95.5,63.5
2009,Kansas St.,B12,14.18,109.4,95.2,67.4
2009,Stanford,P10,14.13,112.5,98.3,67.5
2009,UAB,CUSA,13.73,109.4,95.7,66.4
2009,VCU,CAA,13.62,110.1,96.4,65.8
2009,Maryland,ACC,13.55,110.0,96.4,66.3
2009,Saint Mary's,WCC,13.36,110.6,97.2,66.5
2009,Penn St.,B10,12.91,111.8,98.9,61.8
2009,Tulsa,CUSA,12.75,106.2,93.4,64.1
2009,Auburn,SEC,12.46,106.8,94.3,68.3
2009,Illinois St.,MVC,12.44,109.0,96.5,64.2
2009,North Dakota St.,Sum,12.29,114.3,102.0,67.5
2009,Rhode Island,A10,12.26,113.7,101.5,67.7
2009,Nebraska,B12,12.21,103.5,91.3,62.9
2009,Davidson,SC,12.06,105.1,93.1,70.0
2009,Northwestern,B10,12.01,111.7,99.7,60.2
2009,Cleveland St.,Horz,11.96,105.3,93.3,63.7
2009,Siena,MAAC,11.93,110.3,98.4,70.7
2009,Creighton,MVC,11.79,111.9,100.1,67.0
2009,Mississippi St.,SEC,11.55,107.8,96.2,67.2
2009,Houston,CUSA,11.49,109.2,97.7,68.5
2009,South Carolina,SEC,11.44,107.3,95.9,72.6
2009,Virginia Tech,ACC,11.37,110.9,99.5,65.4
2009,UNLV,MWC,11.29,106.9,95.6,65.1
2009,Boston College,ACC,11.2,113.2,102.0,65.3
2009,Niagara,MAAC,10.62,109.2,98.6,68.4
2009,Seton Hall,BE,10.3,110.7,100.4,67.7
2009,Providence,BE,10.26,111.0,100.7,72.1
2009,Dayton,A10,10.23,103.3,93.0,64.5
2009,Green Bay,Horz,10.16,112.9,102.7,65.0
2009,Vanderbilt,SEC,10.01,107.6,97.6,65.3
2009,North Carolina St.,ACC,9.84,113.5,103.6,63.0
2009,UTEP,CUSA,9.84,108.2,98.4,70.5
2009,Northern Iowa,MVC,9.7,110.6,100.9,60.8
2009,Vermont,AE,9.1,108.7,99.6,69.0
2009,Duquesne,A10,8.95,115.2,106.2,68.9
2009,Cincinnati,BE,8.72,108.7,100.0,63.5
2009,Iowa,B10,8.44,108.6,100.2,57.6
2009,Western Kentucky,SB,8.1,111.1,103.0,65.6
2009,George Mason,CAA,8.04,104.6,96.6,62.2
2009,Oral Roberts,Sum,7.85,103.0,95.2,67.6
2009,Miami OH,MAC,7.38,103.5,96.2,60.4
2009,Mississippi,SEC,7.19,111.4,104.2,66.3
2009,Old Dominion,CAA,7.02,105.0,98.0,62.2
2009,Texas Tech,B12,7.01,109.3,102.3,71.4
2009,Akron,MAC,6.9,102.9,96.0,64.8
2009,Wright St.,Horz,6.9,100.7,93.8,61.6
2009,Northeastern,CAA,6.84,106.4,99.6,59.7
2009,Georgia Tech,ACC,6.73,100.4,93.7,70.5
2009,Saint Joseph's,A10,6.71,105.7,99.0,63.9
2009,Alabama,SEC,6.63,105.9,99.3,67.5
2009,Stephen F. Austin,Slnd,6.52,97.0,90.4,62.4
2009,Oakland,Sum,6.36,114.2,107.8,64.8
2009,Nevada,WAC,6.07,105.8,99.8,66.3
2009,Virginia,ACC,5.77,103.5,97.8,67.2
2009,East Tennessee St.,ASun,5.67,106.4,100.7,69.6
2009,La Salle,A10,5.35,105.9,100.5,66.7
2009,Cornell,Ivy,5.23,108.5,103.3,65.4
2009,CSUN,BW,5.18,102.2,97.0,71.8
2009,Portland,WCC,5.01,107.3,102.3,64.6
2009,Pacific,BW,4.92,108.8,103.9,58.5
2009,Oregon St.,P10,4.91,106.1,101.2,57.4
2009,American,Pat,4.7,105.3,100.6,60.7
2009,Iowa St.,B12,4.6,102.5,97.9,63.7
2009,Richmond,A10,4.43,106.8,102.4,63.9
2009,Belmont,ASun,4.25,106.6,102.4,69.1
2009,Weber St.,BSky,4.2,103.2,99.0,67.0
2009,Tennessee Martin,OVC,4.2,108.5,104.3,68.3
2009,Portland St.,BSky,4.04,109.2,105.1,64.8
2009,Buffalo,MAC,3.96,102.6,98.6,64.6
2009,Bradley,MVC,3.95,104.9,101.0,64.7
2009,St. John's,BE,3.88,102.7,98.8,65.4
2009,Jacksonville,ASun,3.87,108.2,104.4,66.2
2009,Sam Houston St.,Slnd,3.64,107.3,103.7,66.1
2009,Kent St.,MAC,3.47,103.2,99.7,66.1
2009,New Mexico St.,WAC,3.31,109.4,106.0,69.1
2009,TCU,MWC,3.23,103.5,100.3,62.8
2009,Arkansas,SEC,3.2,105.1,101.9,68.6
2009,Evansville,MVC,3.1,102.7,99.6,66.5
2009,Illinois Chicago,Horz,3.01,105.6,102.6,65.1
2009,Wyoming,MWC,2.98,107.0,104.0,69.5
2009,Murray St.,OVC,2.76,103.1,100.3,62.4
2009,Drexel,CAA,2.65,98.6,95.9,63.0
2009,James Madison,CAA,2.42,105.8,103.3,65.9
2009,Wichita St.,MVC,2.39,102.8,100.4,62.3
2009,UCF,CUSA,2.32,105.9,103.6,65.9
2009,South Florida,BE,2.3,101.5,99.2,60.9
2009,Santa Clara,WCC,2.25,101.6,99.3,63.7
2009,Massachusetts,A10,2.22,105.1,102.9,68.4
